Categoria,Subcategoria,Nombre,Contacto 1,Contacto 2,Dpto,Municipio,Vereda/Sector/Barrio,Direccion,Punto referencia,,web,Email 1,Email 2,facebook,twitter,instagram,Whatsapp,TikTok,telefono1,telefono2,telefono3,Actividades
Turismo,Ecoturismo,Colombia Explorers,,,,Bogotá,,,,,,colombiaexplorers@gmail.com,,,,,,,57 1 83853676,3135595311,,"Operador turistico, avistamiento de aves, naturaleza y cultura."
Turismo,Ecoturismo,Boarding House El Paraiso,,,Tolima,Ibagué,La Murraposa,Barrio El Pais Finca El Paraiso Vereda La Murraposa,,,,bhelparaiso@gmail.com,,,,,,,57 3108182157,3016229996,,"Pasadia, hospedaje, kiosko de hamacas, piscina, zona de camping, parque infantil, cancha microfutbol-baloncesto, programación de eventos familiares y empresariales"
Turismo,Ecoturismo,Chucuni Club Campestre,,,Tolima,Ibagué,Chucuni,Vereda Chucuni Km 9 Via Alvarado-Mariquita,,,www.clubcampestrechucuni.com,clubcampestrechucuni@gmail.com,,Club-Campestre-Chucuni-115476211850243,,,,,,,,"Alojamiento, piscina, camping, sendero ecologico"
Turismo,Ecoturismo,Villa del Cantar,,,Tolima,Ibagué,"El Salado, Entrada Mandrake","Bario El Salado, Entrada Mandrake 500 metros",,,,fincavilladelcantar@gmail.com,,fincavilladelcantar,,,,,57 3173754781,,,"Cabañas, camping, piscinas, minifutbol, minitejo, salon recepciones, restaurante, zonas verdes"
Turismo,Ecoturismo,Finca Las Palmas,,,Tolima,,,Via Alvarado Km 9 vereda Chucuni,,,www.fincalaspalmas.com.co,laspalmasibague@gmail.com,,,,,,,57 8 2710997,57 3112067861,3157482023,"Piscina, restaurante, Canchas de tejo, Hospedaje, Zona camping, Reuniones empresariales"
Turismo,Ecoturismo,Villa Leones,,,Tolima,Ibagué,,Calle 133 Av Ambala entrada Mandrake altos santa Helen,,,,villaleonesgood@gmail.com, villaleones1234@hotmail.com,,,,,,57 8 2726258,57 3172913808,,"Gym natural, cabañas temáticas, piscinas, piscina natural, Volleyplaya, Minitejo, hidroterapia, sauna, billar, hamacas, aquavol"
Turismo,Ecoturismo,Agencia de Viajes Fenix,,,Tolima,Ibagué,,Cra 3 12-36 C.C. Pasaje Real Piso 1,,,www.travelfenix.com,travelfenix@yahoo.es,,,,,,,57 8 2639752,57 8 2615047,3105534355,"Planes turisticos, Turismo cultural, Ruta nevados, ruta rio magdalena, Turismo de naturaleza"
Turismo,Ecoturismo,Vacation Travel,,,Tolima,Ibagué,,"Cra 5 No 14-42 Edificio Portal de la Quinta, Oficina 03",,,www.vacationtravel.mi-sitio.co,reservasvacationtravel@hotmail.com, vacationtravel2013 @hotmail.com,,,,,,57 8 2610270,57 3163500707,3173574926,Planes turisticos.
Artesania,Confeccion,Orquimabi,,,Tolima,San Antonio,,,,,,,,,,,,,57 3108183611,,,"Artesania, confección, crochet, tejidos a mano"
Transporte,Taxi,Cootransnorte,Justo Vanegas,,Tolima,Mariquita,,,,,,,,,,,,,57 3213219757,,,Servicio de taxi urbano
Textil,Calzado,Botas Agro,Gabriel Perez,,Tolima,Ibagué,Barrio Gaitan,Cra 12 37-10,,,www.botasagroindustrial.com,botasagro@hotmail.com,,,,,,,57 8 2667265,57 8 2669130,2702300,Fabrica de botas de seguridad industrial
Textil,Confeccion,Flawless,,,Tolima,Ibagué,Rincón de Piedra Pintada,Calle 51 7c-28,,,,,,deesplus,deesplus,deesplus,,,57 8 2649396,57 3202869805,,Fabrica de ropa femenina.  Tallas grandes
Textil,Confeccion,Almacen VO5,,,Tolima,Ibagué,,Cra 3 No 14-01,,,,,,,,,,,57 8 2631014,,,Ropa caballeros
Textil,Confeccion,Texeco S.A.S.,,,Tolima,Ibagué,,Cra 7 10-15,,,,joaquinarias@texecosas.com,,,,,,,57 8 2735271,57 3157903781,,Fabrica de camisetas y polos
Textil,Confeccion,Cata Zuleta Fit,Catalina Zuleta Cáceres,Andrea Calderón Cáceres,,,,,,,,catazuletafitclothes@gmail.com,catazuleta182@gmail.com,catazuletafit,,catazuletafitclothes,+57 304 434 3721,,,,,"Diseñadora de modas, ropa deportiva"
Textil,Confeccion,Aleja es accesorios,,,Tolima,Ibagué,,,,,,,,alejaesaccesorios,,alejaesaccesorios,+57 315 834 5921,,57 8 2726549,57 3158531415,,"Accesorios, adornos, hebillas para el cabello."
Textil,Confeccion,Casamara,Paola Useche Arce,,Tolima,Ibagué,,,,,,maradisenosencuero@hotmail.com,,casamara bolsos & accesorios,,,,,57 3174262215,,,"Bolsos, cuero, accesorios"
Textil,Confeccion,Evolet,,,Tolima,Ibagué,Santa Helena,Calle 41 2-33,,,,lauramontenegroh@hotmail.com,,EvoletAccesorios,,Evolet_accesorios,+57 318 211 5045,,57 3182115045,,,"Accesorios, adornos, hebillas para el cabello."
Textil,Confeccion,Luchitas,Olga Lucía Mendez Rios,,Tolima,Ibagué,,Cra 12 21-05,,,www.luchitasarteycuero.com,,,luchitas arte y cuero,,,,,57 3125707748,,,"Bolsos, cuero, accesorios"
Textil,Confeccion,Relax system,Sandra Milena Gomez,,Tolima,Ibagué,Centro,Cra 3 C.C.Combeima piso 2 local B 36,,,,relaxsystemfajas@hotmail.com,,relaxsystem,,relax_system_fajas,+57 316 856 6102,,57 3168566102,,,"Fajas, masajeadores, masajes."
Textil,Confeccion,Fajas Madelca,Maria del Carmen Campusano,,Tolima,Ibagué,Jordan Etapa 8,Mz 47 Casa 5,,,www.fajasmadelca.com.co,comercial@fajasmadelca.com.co,,,,,,,57 8 2626048,57 3118265353,,"Fajas posquirurgica, uso diario, maternas, posparto."
Publicidad,,Publimarquillas,Carlos Fair Ramirez,,Tolima,Ibagué,Barrio El Carmen,Calle 21 6-64,,,,publimarquillas@yahoo.com,,,,,,,57 3156498390,,,"Gorras, llaveros, etiquetas, marquillas tejidas y estampadas"
Artesania,Artista,German Darío Tejedor,Germán Darío Tejedor,,Tolima,Ibagué,,,,,,artegermantej@hotmail.com,,German Tejedor,,,,,57 3144289921,,,"Pinturas al oleo, Manualidades."
Textil,Confeccion,Embellece,Juan Felipe Ortiz Luengas,,Valle,Cali,Prados del Norte,Calle 34AN 2AN-63 Oficina 901A,,,www.embellece.com.co,info@embellece.com.co,ventas@embellece.com.co,info@embellece.com.co,,,,,,,,"Fajas posquirurgica, uso diario, maternas, posparto."
Textil,Confeccion,Andylu,Ana María Cubillos Mendez,,Tolima,Ibagué,,,,,,andylu.princessshop@gmail.com,,Andylu Princess Shop,,,,,57 3044821171,,,"Tutu, hebillas, cintas, manualidades."
Fiestas,Organizador,Mundo Eventos,Uriel Rengifo,,Tolima,Ibagué,Jordan 4 Etapa,Mz 2 Casa 14,,,www.mundoeventosuriel.com,mundoeventosuriel@hotmail.com,,,,,,,57 8 2675888,,,"Sonido, chiquiteca, pirotecnia, decoración, artistas, fotografía, filmación."
Fiestas,Piñatas,Piñatería Disneylandia,,,Tolima,Ibagué,,Calle 16 3-57,,,,,,,,,,,57 8 2616329,,,"Piñatas, regalos, decoraciones para fiestas"
Textil,Confeccion,Blu Pijamas,Johanna Jimenez,Marlyn Molano Vasquez,Tolima,Ibagué,,,,,,blufashion@hotmail.com,,blufashion2015,,blufashion2015,,,57 3167457268,57 3155318889,,"Pijamas, camisetas, estampados."
Textil,Confeccion,Platinum Confecciones,Javier Ricardo Ariza Palma,,Tolima,Ibagué,,Cra 1 18-61 piso 3,,,,platinumconfecciones@hotmail.com,,,,,,,57 3172937891,57 3013584879,,"Camisetas, polos, confección"
Textil,Insumos,Fibrandina,Hawin Andres Rodriguez R,,Tolima,Ibagué,Via Buenos Aires,Km 17,Parque Logistico Nacional del Tolima,,www.fibrandina.com,ventas@fibrandina.com,,,,,,,57 8 2739535,57 8 2739540,,"Hilos, materias primas"
Textil,Confeccion,Confecciones Aviles,Aider Aviles Cortés,,Tolima,Ibagué,,Calle 17 4-40,,,www.avins73.com,aider.aviles@hotmail.com,,,,,,,57 8 2613559,57 3203446126,57 3187129517,"Confección, camisetas."
Textil,Maquinaria,Maicoser,Oswaldo Lugo Ch.,,Antioquia,Medellín,,Cra 51 9C Sur-60,,,www.maicoser.com,administracion@maicoser.com,,,,,,,57 4 4449703,57 3103901435,,Máquinas de coser
Textil,Confeccion,Moraza Vestidos de Baño,Luz Miriam Mora Salazar,,Tolima,Ibagué,Calarcá,Cra 10 42-79,,,,luzmirmora@hotmail.com,,Vestidos de baño moraza,,Vestidos de baño moraza,+57 832 9553,,57 8 2641080,57 3128329553,,Trajes de baño
Artesania,Manualidades,Artesanias y Manualidades Guzman,Eulalia Guzmán Pachón,,Tolima,,,,,,,lalipsico@hotmail.com,,,,,,,57 8 7385001,57 3153197619,,"Bufandas, tejidos, crochet"
Comercio,Seguridad Industrial,"Crear Dotaciones J,J,",Sandra Milena Jimenez,,Tolima,Ibagué,,Cra 6 26-28 Local 1,,,,creardotacionesjj@hotmail.com,,,,,,,,,,"Dotaciones, Seguridad Industrial"
Textil,Maquinaria,Printrade,Oscar David Fúquene Bernal,,Tolima,Ibagué,,Cra 68Lbis 37D-02,,,www.printrade.com,printradecolombia@gmail.com,,,,,,,,,,"Impresoras, plotter, tintas, papel sublimación"
Textil,Confeccion,Skate House,,,Tolima,Ibagué,,Cra 3 12-54 C.C.Combeima piso 1 local 141,,,,,,skate house,sk8houseibague,Skatehousex,+57 300 5539228,,57 3133693386,,,"Camisetas, morrales, patinetas"
Textil,Confeccion,Terranova Swimwear,Daniel Silva Garnica,,Tolima,Ibagué,,,,,,,,terranovaswim,,terranova_swimwear,,,57 3112359697,,,"Pantalonetas, estampados, diseño"
Fiestas,Eventos,Villa Sofia,Flor Alba Hernandez,,Tolima,Ibagué,Via Totumo,Km 2,,,,,,,,,,,57 3152257398,,,"Alojamiento, salon de fiestas, eventos, piscina, juegos."
Artesania,Manualidades,Foamy & Arte Publicidad,Nohora Murcia Restrepo,,Tolima,Ibagué,,Calle 17 4-120,,,,nohorapublicidad@gmail.com,,,,,,,57 8 2625977,57 3115946152,,"Manualidades, materiales para foamy, estampados, señalización, sublimación, mugs"
Artesania,,Nikayan Accesorios,Leyder Medina,,Tolima,Ibagué,,Cra 3 11-60 Hotel Acandi Local 1,,,,nikayanaccesorios@hotmail.com,,,,,,,,,,
Comercio,Persianas,Leonel Vanegas,Leonel Vanegas,,Tolima,Ibagué,Barrio Fenalco,Av Ambala 28-73,,,,,,,,,,,57 8 2666145,57 3143377662,,"Persianas, cortinas, bambulitas, enrrollables, venta, instalación, reparación, lavado."
Construccion,Transformadores,FG Transformadores SAS,Faber Gamboa,,Cundinamarca,Bogotá,,Cra 71D 66-26,,,www.fgtransformadores.com,fgamboa@fgtransformadores.com,,,,,,,57 1 2527949,57 3107802193,,"Transformadores, venta, diagnostico, mantenimiento, termografía IR, ultrasonido para redes eléctricas y aplicaciones industriales, Ensayos no destructivos, Mantenimiento predictivo CBM."
Textil,Insumos,Metroherrajes,,,Tolima,Ibagué,,Calle 16 4-49,,,,metroherrajes449@yahoo.es,,,,,,,57 8 2633683,57 8 2619475,,"Insumos para fabricación de bolsos y calzado, herrajes, cierres, botones, herrajes, reatas."
Textil,Insumos,Mundo Hilazas,Jairo Rodriguez Botero,,Antioquia,Medellín,Calazans,Calle 48B 80-36,,,,,,,,,,,57 4 2346132,,,Compraventa de hilazas crudas y preteñidas
Comercio,Filtros de agua,Super Aguas,Martin Alonso Rojas,,Tolima,Ibagué,,Cra 5 C.C. Arkacentro Local E2-A12 Modulo S,,,,super_aguas@yahoo.es,,,,,,,57 8 2740758,,,"Filtros y sistemas de tratamiento de agua potable, venta, servicio técnico y repuestos."
Fiestas,Piñatas,Mundo Mágico,,,Tolima,Ibagué,,Calle 16 3-51,,,,,,,,,,,57 8 2661740,,,"Piñatas, regalos, decoraciones para fiestas"
Pasteles,Insumos,Harinas y Más,Harinas y Mas,,Tolima,Ibagué,,Calle 17 1-79,,,,,,,,,,,57 8 2639487,57 3137829544,57 3104432661,"Harinas, grasas, levaduras, moldes, chocolates, materiales para panadería y pastelería"
Comercio,Articulos Usados,Merkado Virtual,Delio Cesar Gamboa,,Tolima,Ibagué,,,,,www.merkadovirtual.com,,,,,,,,57 3007823414,,,Compra y venta de artículos usados
Transporte,Taxi,Cooperativa Megataxi,,,Tolima,Ibagué,Barrio Hipodromo,Cra 4b 29-02,,,,,,,,,,,57 8 2654444,57 2700468,,"Transportes, Taxi, camionetas, encomiendas, expresos nacionales, despertador, venta de repuestos."
Comercio,Vidrios,Biseles y tallas,Sandra C. Ochoa,,Tolima,Ibagué,,Calle 14 4-81,,,,biselesytallas@hotmail.com,,,,,,,57 8 2632020,57 3164622531,,"Vidrios, espejos, señalización, trofeos, tallas, sandblasting, divisiones en cristal y aluminio."
Textil,Maquinaria,Mueblimaquinas,Antonio Serrato,,Tolima,Ibagué,,Cra 22 19-15,,,,aserrato@mueblimaquinas.com,,,,,,,57 1 3510730,57 1 3510753,,Máquinas de coser
